starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:26:36 2023	1701915996	285	340	625	234
Wed Dec 06 18:26:36 2023	1701915996	285	340	625	232
Wed Dec 06 18:26:23 2023	1701915983	124	501	625	75
Wed Dec 06 18:27:35 2023	1701916055	267	357	625	357
Wed Dec 06 18:26:18 2023	1701915978	44	580	625	449
Wed Dec 06 18:20:55 2023	1701915655	349	275	625	181
Wed Dec 06 18:26:18 2023	1701915978	44	580	625	449
Wed Dec 06 18:24:39 2023	1701915879	88	537	625	419
Wed Dec 06 18:23:11 2023	1701915791	69	556	625	160
Wed Dec 06 18:20:47 2023	1701915647	165	461	626	359
Wed Dec 06 18:27:08 2023	1701916028	305	321	626	138
Wed Dec 06 18:22:37 2023	1701915757	359	267	626	265
Wed Dec 06 18:21:26 2023	1701915686	28	598	626	198
Wed Dec 06 18:25:15 2023	1701915915	104	521	626	147
Wed Dec 06 18:20:54 2023	1701915654	198	428	626	205
Wed Dec 06 18:22:51 2023	1701915771	393	233	626	233
Wed Dec 06 18:26:18 2023	1701915978	46	581	626	449
Wed Dec 06 18:25:08 2023	1701915908	186	441	626	384
Wed Dec 06 18:20:54 2023	1701915654	200	426	626	197
Wed Dec 06 18:25:08 2023	1701915908	186	440	627	384
Wed Dec 06 18:23:34 2023	1701915814	141	485	627	265
Wed Dec 06 18:21:26 2023	1701915686	28	598	627	393
Wed Dec 06 18:21:26 2023	1701915686	28	598	627	392
Wed Dec 06 18:25:40 2023	1701915940	193	434	627	433
Wed Dec 06 18:20:54 2023	1701915654	200	426	627	198
Wed Dec 06 18:21:26 2023	1701915686	29	598	627	198
Wed Dec 06 18:25:40 2023	1701915940	194	433	627	431
Wed Dec 06 18:21:17 2023	1701915677	355	272	627	270
Wed Dec 06 18:22:05 2023	1701915725	151	477	627	290
Wed Dec 06 18:23:19 2023	1701915799	267	360	628	327
Wed Dec 06 18:23:34 2023	1701915814	143	484	628	265
Wed Dec 06 18:25:40 2023	1701915940	194	434	628	433
Wed Dec 06 18:22:05 2023	1701915725	149	479	628	290
Wed Dec 06 18:22:25 2023	1701915745	10	618	628	611
Wed Dec 06 18:20:54 2023	1701915654	200	428	628	197
Wed Dec 06 18:20:55 2023	1701915655	353	275	628	181
Wed Dec 06 18:21:20 2023	1701915680	444	184	628	179
Wed Dec 06 18:20:06 2023	1701915606	136	493	628	489
Wed Dec 06 18:27:36 2023	1701916056	21	607	629	248
Wed Dec 06 18:21:50 2023	1701915710	168	460	629	433
Wed Dec 06 18:27:36 2023	1701916056	21	607	629	248
Wed Dec 06 18:27:36 2023	1701916056	21	607	629	248
Wed Dec 06 18:23:34 2023	1701915814	143	485	629	267
Wed Dec 06 18:25:58 2023	1701915958	85	544	629	514
Wed Dec 06 18:21:26 2023	1701915686	112	517	629	91
Wed Dec 06 18:21:26 2023	1701915686	112	517	629	91
Wed Dec 06 18:21:26 2023	1701915686	112	517	629	91
Wed Dec 06 18:26:04 2023	1701915964	53	576	629	540
Wed Dec 06 18:21:51 2023	1701915711	165	465	629	283
Wed Dec 06 18:21:26 2023	1701915686	112	517	629	91
Wed Dec 06 18:21:26 2023	1701915686	112	517	629	91
Wed Dec 06 18:26:04 2023	1701915964	54	576	630	542
Wed Dec 06 18:21:59 2023	1701915719	179	450	630	156
Wed Dec 06 18:27:09 2023	1701916029	297	333	630	248
Wed Dec 06 18:23:19 2023	1701915799	272	358	630	324
Wed Dec 06 18:21:50 2023	1701915710	168	462	630	433
Wed Dec 06 18:21:26 2023	1701915686	32	599	630	392
Wed Dec 06 18:21:26 2023	1701915686	32	598	630	392
Wed Dec 06 18:23:14 2023	1701915794	508	122	630	91
Wed Dec 06 18:23:14 2023	1701915794	508	122	630	91
Wed Dec 06 18:21:59 2023	1701915719	179	451	631	266
Wed Dec 06 18:21:59 2023	1701915719	179	451	631	266
Wed Dec 06 18:23:45 2023	1701915825	130	500	631	243
Wed Dec 06 18:21:50 2023	1701915710	169	462	631	434
Wed Dec 06 18:23:14 2023	1701915794	508	122	631	101
