starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:31:36 2023	1701916296	26	33	59	18
Wed Dec 06 18:31:36 2023	1701916296	26	33	59	18
Wed Dec 06 18:31:46 2023	1701916306	42	17	59	15
Wed Dec 06 18:31:45 2023	1701916305	37	22	59	20
Wed Dec 06 18:31:43 2023	1701916303	26	33	59	21
Wed Dec 06 18:31:22 2023	1701916282	20	39	59	38
Wed Dec 06 18:31:38 2023	1701916298	38	22	59	11
Wed Dec 06 18:31:36 2023	1701916296	32	27	59	24
Wed Dec 06 18:30:49 2023	1701916249	29	30	59	30
Wed Dec 06 18:31:38 2023	1701916298	15	44	59	19
Wed Dec 06 18:31:46 2023	1701916306	16	44	59	23
Wed Dec 06 18:31:33 2023	1701916293	35	25	59	24
Wed Dec 06 18:31:38 2023	1701916298	13	46	59	18
Wed Dec 06 18:31:38 2023	1701916298	37	23	59	22
Wed Dec 06 18:31:06 2023	1701916266	33	26	59	26
Wed Dec 06 18:31:06 2023	1701916266	14	46	59	32
Wed Dec 06 18:31:46 2023	1701916306	16	43	60	42
Wed Dec 06 18:31:45 2023	1701916305	37	22	60	20
Wed Dec 06 18:31:06 2023	1701916266	34	26	60	26
Wed Dec 06 18:31:24 2023	1701916284	36	23	60	23
Wed Dec 06 18:31:25 2023	1701916285	24	35	60	31
Wed Dec 06 18:31:45 2023	1701916305	37	22	60	18
Wed Dec 06 18:31:39 2023	1701916299	31	28	60	28
Wed Dec 06 18:31:24 2023	1701916284	22	38	60	37
Wed Dec 06 18:30:52 2023	1701916252	25	34	60	20
Wed Dec 06 18:30:48 2023	1701916248	21	39	60	38
Wed Dec 06 18:31:22 2023	1701916282	37	22	60	21
Wed Dec 06 18:31:18 2023	1701916278	12	48	60	20
Wed Dec 06 18:31:46 2023	1701916306	16	44	60	42
Wed Dec 06 18:31:04 2023	1701916264	36	23	60	13
Wed Dec 06 18:31:04 2023	1701916264	36	23	60	17
Wed Dec 06 18:31:18 2023	1701916278	12	48	60	36
Wed Dec 06 18:31:18 2023	1701916278	12	48	60	18
Wed Dec 06 18:31:30 2023	1701916290	37	22	60	22
Wed Dec 06 18:31:07 2023	1701916267	39	21	60	20
Wed Dec 06 18:30:54 2023	1701916254	25	35	60	27
Wed Dec 06 18:31:04 2023	1701916264	36	23	60	18
Wed Dec 06 18:31:19 2023	1701916279	24	36	60	22
Wed Dec 06 18:31:46 2023	1701916306	29	31	60	17
Wed Dec 06 18:31:39 2023	1701916299	32	28	60	14
Wed Dec 06 18:31:39 2023	1701916299	32	28	60	12
Wed Dec 06 18:31:21 2023	1701916281	18	42	60	41
Wed Dec 06 18:31:39 2023	1701916299	32	28	60	14
Wed Dec 06 18:30:48 2023	1701916248	21	39	60	38
Wed Dec 06 18:31:45 2023	1701916305	25	35	60	13
Wed Dec 06 18:31:04 2023	1701916264	37	23	60	13
Wed Dec 06 18:31:38 2023	1701916298	14	46	60	22
Wed Dec 06 18:31:45 2023	1701916305	25	35	60	14
Wed Dec 06 18:31:11 2023	1701916271	16	44	60	42
Wed Dec 06 18:31:06 2023	1701916266	14	46	60	32
Wed Dec 06 18:31:05 2023	1701916265	24	36	60	35
Wed Dec 06 18:30:58 2023	1701916258	30	31	60	28
Wed Dec 06 18:31:16 2023	1701916276	25	35	60	30
Wed Dec 06 18:31:09 2023	1701916269	23	37	60	35
Wed Dec 06 18:30:59 2023	1701916259	26	34	60	25
Wed Dec 06 18:31:10 2023	1701916270	14	46	60	45
Wed Dec 06 18:31:28 2023	1701916288	37	23	60	22
Wed Dec 06 18:31:06 2023	1701916266	37	23	60	21
Wed Dec 06 18:31:21 2023	1701916281	23	37	60	37
Wed Dec 06 18:30:48 2023	1701916248	21	40	60	38
Wed Dec 06 18:31:38 2023	1701916298	34	26	60	21
Wed Dec 06 18:31:40 2023	1701916300	22	39	60	33
Wed Dec 06 18:31:40 2023	1701916300	21	39	60	34
Wed Dec 06 18:31:40 2023	1701916300	21	39	60	36
Wed Dec 06 18:31:33 2023	1701916293	36	24	60	24
Wed Dec 06 18:31:16 2023	1701916276	25	35	60	30
Wed Dec 06 18:30:52 2023	1701916252	26	35	60	22
Wed Dec 06 18:30:47 2023	1701916247	23	37	60	24
Wed Dec 06 18:30:47 2023	1701916247	23	37	60	25
Wed Dec 06 18:30:47 2023	1701916247	26	34	61	33
Wed Dec 06 18:31:06 2023	1701916266	33	28	61	25
Wed Dec 06 18:31:09 2023	1701916269	25	36	61	33
